ID,Reviewer,Comment summary,Severity,Confirmed by our audit?,Related WP,Planned action
R1-11,Reviewer 1,"sr:hasSoaUrl declared with domain sr:repository in OWL file, but Fig.1/live data use it on sr:Person",Critical,"Yes - broader finding: ontology namespace never used in data at all, dump/endpoint use https://semrepo.org/class+property/, ontology uses https://semrepo.org/ontology# (WP1.3/1.4)",WP3,"Ensure new ontology namespace and deployed data namespace are identical from day one; add an automated check as part of the release pipeline"
R2-01,Reviewer 2,Text-figure mismatches (Sec 3.4 claims diffusion models dominant; Fig 2b shows Deep Learning/PyTorch/ML/Python/CV),Medium,Not applicable to audit (paper-writing issue),WP7,"Regenerate all figures and text descriptions from the same verified query outputs; cross-check narrative claims against figures before submission"
R2-02,Reviewer 2,License inconsistency: paper says CC0, Zenodo record says CC-BY-4.0,High,Not yet verified against current Zenodo record,WP1.2/WP5,"Verify current Zenodo license field; align paper/Zenodo/VoID.ttl to a single consistent license before any release"
R2-03,Reviewer 2,"Alignment is instance-level (owl:sameAs/object properties) only; no TBox mapping, no stated inference support, unconstrained n-ary nodes (ContributorReference etc.)",Critical,"Yes - confirmed, ContributorReference/LanguageReference have no SHACL constraints and are duplicated 3x under different names (WP1.3)",WP3,"Design ExternalLink and Contribution/LanguageUsage as constrained, SHACL-validated n-ary patterns per 15-point plan points 6-8"
R2-04,Reviewer 2,"Unclear whether releases are full re-harvest or incremental; temporal skew of fast-changing stars/issues not addressed",Medium,Not yet investigated,WP2/WP4,"Explicitly define and document the update/versioning strategy as part of WP2 scope definition, including how snapshot timestamps handle temporal skew"
R2-05,Reviewer 2,CQs appear author-defined and not grounded in real stakeholder personas,Medium,Not applicable to audit (evaluation design issue),WP6,"Ground CQs in explicit stakeholder personas as already partially done (see kickoff prep); consider adding CQs suggested by reviewers (e.g. ISWC/ESWC/SEMANTiCS coverage over time)"
R2-06,Reviewer 2,RRS uses arbitrary thresholds with no ground-truth validation,High,Not yet re-verified,WP6,"Either validate RRS against labeled data or explicitly present it as illustrative only, per Reviewer 2/3's shared concern"
R2-07,Reviewer 2,Missing related work: OntoMathPRO / academic-knowledge-ontology line of work,Low,Not applicable to audit,WP7,"Add missing related work citation when writing the resubmission paper"
R3-01,Reviewer 3,No baseline comparison or ablation study; CQ evaluation is entirely self-referential,High,Not applicable to audit (evaluation design issue),WP6,"Consider adding at least one comparison against querying LPWC/SemOpenAlex directly, to demonstrate SemRepo's added value"
R3-02,Reviewer 3,"6% SemOpenAlex alignment rate not analyzed - why does alignment fail for 94%?",Medium,"Partially - dump/endpoint both show 11,867 links = 0.41% of 2.9M persons, not 6% as paper claims (WP1.4)",WP3/WP6,"Once GitHubAccount/Person split is implemented (WP3), recompute alignment rate against the correct denominator and analyze failure causes"
R3-03,Reviewer 3,Heavy ML/AI bias due to LPWC-only sourcing; not quantified or discussed for generalizability,Medium,Not applicable to audit (scope discussion),WP2,"Explicitly document this bias/limitation as a known scope constraint during WP2 scope definition, rather than treating it as fixable"
R3-04,Reviewer 3,No upper ontology (DOLCE/BFO/schema.org) considered or justified as excluded,Low,Not applicable to audit,WP3,"Document the decision on upper-ontology reuse (or non-reuse) explicitly in the new ontology's design rationale"
R3-05,Reviewer 3,CodeMeta mentioned in related work but not reused or mapped,Medium,Not yet investigated,WP3,"Evaluate CodeMeta property reuse for the Repository/Package model during WP3 ontology design"
R3-06,Reviewer 3,21-day collection window unexplained; no bias analysis,Low,Not applicable to audit,WP4,"Document and justify the collection window explicitly in the new pipeline's methodology section"
R3-07,Reviewer 3,SPARQL queries for Section 5 use cases (RRS) not published alongside CQ queries,Low,"Yes - confirmed, CQs/ folder has CQ1-4 + example queries but usecase/ folder queries (compute-indicators.sparql) exist separately and were not cross-referenced in the paper (WP1 overview)",WP6,"Ensure all use-case SPARQL queries are published in the same location/README as CQ queries for reproducibility"
R4-01,Reviewer 4,Ontology classes/properties are not dereferenceable,Medium,Not yet verified,WP3/WP5,"Ensure new ontology URIs resolve (content negotiation) as part of the release infrastructure setup in WP5"
R4-02,Reviewer 4,Ontology engineering process not discussed; CQs appear developed post hoc,High,"Yes - confirmed no methodology reference exists in the ontology file or docs (WP1.3)",WP3,"Follow and document a named methodology (e.g. Methontology/SAMOD as already referenced in the paper) explicitly during WP3, with CQs defined before modeling, not after"
R4-03,Reviewer 4,Degree of vocabulary reuse vs new terms not documented,Medium,"Partially - our audit catalogued reuse (dcterms/foaf/fabio) but also found the fabio:accountName prefix-confusion bug (WP1.4)",WP3,"Produce an explicit reuse table (external vocab vs new sr: terms) as part of the new ontology's documentation"
META-01,Metareview (Peroni),Significant number of references have incorrect metadata or are unverifiable; not addressed in rebuttal at all,Critical,Not applicable to audit (paper-writing issue),WP7,"Mandatory: verify every single reference before any resubmission - explicitly flagged by chairs as a research-integrity concern, not just a formatting issue"
